task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,local,80.0,0.0,79677,2572992.512599725,252,0.0,0.0,428.8320854332875,0.0,428.8320854332875,0.00038118407594070003,79.99961881592407,0.857664170866575,True
2,GENERIC,edge,79.99961881592407,0.4288320854332875,7006442,727619.2368525292,548,2277.0614400000004,57.420480000000005,90.95240460656616,1.3877787807814457e-14,2425.434324606567,0.0005123937066666668,79.9991064222174,5.279700734646421,True
3,SLAM,local,79.9991064222174,2.854266410039854,2214326,215155.22944246212,221,0.0,0.0,35.85920490707694,0.0,35.85920490707694,3.187484880629069e-05,79.9990745473686,2.925984819854008,False
4,GENERIC,local,79.9990745473686,2.890125614946931,2476723,1992211.3517345893,889,0.0,0.0,332.0352252890983,0.0,332.0352252890983,0.00029514242247919846,79.99877940494612,3.5541960655251277,False
5,NAV,local,79.99877940494612,3.2221608402360293,5155740,9582319.527787881,415,0.0,0.0,1597.0532546313136,0.0,1597.0532546313136,0.001419602893005612,79.99735980205311,6.416267349498657,True
6,NAV,local,79.99735980205311,4.819214094867343,9913833,3282951.439048667,97,0.0,0.0,547.1585731747774,0.0,547.1585731747774,0.000486363176155358,79.99687343887696,5.913531241216898,True
7,NAV,local,79.99687343887696,5.36637266804212,5915710,7405195.735648119,1645,0.0,0.0,1234.1992892746862,0.0,1234.1992892746862,0.0010970660349108325,79.99577637284204,7.834771246591493,False
8,GENERIC,local,79.99577637284204,6.600571957316807,2417059,28929721.485520154,475,0.0,0.0,4821.620247586693,0.0,4821.620247586693,0.004285884664521505,79.99149048817752,16.243812452490193,True
9,GENERIC,local,79.99149048817752,11.4221922049035,3031526,15827039.482747322,861,0.0,0.0,2637.83991379122,0.0,2637.83991379122,0.0023447465900366406,79.98914574158748,16.69787203248594,True
10,NAV,local,79.98914574158748,14.06003211869472,813607,2733029.2574374434,83,0.0,0.0,455.50487623957457,0.0,455.50487623957457,0.0004048932233240657,79.98874084836416,14.971041871173869,True
11,SLAM,local,79.98874084836416,14.515536994934294,334937,2605548.6397463526,1009,0.0,0.0,434.25810662439267,0.0,434.25810662439267,0.00038600720588834853,79.98835484115827,15.38405320818308,False
12,GENERIC,local,79.98835484115827,14.949795101558687,1454341,1880788.1316299303,310,0.0,0.0,313.4646886049879,0.0,313.4646886049879,0.0002786352787599897,79.98807620587951,15.576724478768663,True
13,GENERIC,edge,79.98807620587951,15.263259790163675,2955042,1501619.0828729165,1306,980.6134400000001,44.456,187.70238535911457,0.0,1212.7718253591145,0.00022285365333333336,79.98785335222618,17.688803440881905,False
14,GENERIC,local,79.98785335222618,16.47603161552279,14340135,8173204.643681917,814,0.0,0.0,1362.2007739469843,0.0,1362.2007739469843,0.001210845132397321,79.98664250709379,19.200433163416758,True
15,GENERIC,edge,79.98664250709379,17.838232389469773,4706351,2081034.060085233,32,1541.03232,50.06016,260.12925751065416,1.3877787807814457e-12,1851.2217375106557,0.0003480138666666667,79.98629449322712,21.540675864491085,True
16,SLAM,local,79.98629449322712,19.68945412698043,745434,22904970.442027666,2090,0.0,0.0,3817.495073671278,0.0,3817.495073671278,0.003393328954374469,79.98290116427275,27.324444274322985,True
17,GENERIC,edge,79.98290116427275,23.506949200651707,3351720,4028574.650780727,2459,1107.5503999999999,45.725440000000006,503.5718313475909,1.6653345369377348e-12,1656.8476713475923,0.00025120291555555553,79.9826499613572,26.820644543346894,False
18,SLAM,local,79.9826499613572,25.163796871999303,890856,6592758.336885608,304,0.0,0.0,1098.7930561476028,0.0,1098.7930561476028,0.000976704938797868,79.9816732564184,27.361382984294508,True
19,GENERIC,local,79.9816732564184,26.262589928146905,7175555,4078615.715942907,247,0.0,0.0,679.769285990485,0.0,679.769285990485,0.0006042393653248752,79.98106901705307,27.622128500127875,True
20,GENERIC,local,79.98106901705307,26.94235921413739,299821,386099.9808471537,116,0.0,0.0,64.34999680785936,0.0,64.34999680785936,5.71999971625413e-05,79.98101181705592,27.07105920775311,False
21,GENERIC,local,79.98101181705592,27.00670921094525,1725300,525082.7385719316,480,0.0,0.0,87.51378976198865,0.0,87.51378976198865,7.779003534398989e-05,79.98093402702057,27.181736790469227,False
22,GENERIC,local,79.98093402702057,27.094223000707238,11145835,15773581.795449756,11,0.0,0.0,2628.9302992416274,0.0,2628.9302992416274,0.0023368269326592235,79.9785972000879,32.35208359919049,True
23,GENERIC,edge,79.9785972000879,29.723153299948866,2422097,2482968.958309107,1024,810.07104,42.7504,310.37111978863834,0.0,1163.1925597886384,0.00018476583111111112,79.9784124342568,32.049538419526144,True
24,GENERIC,edge,79.9784124342568,30.886345859737503,1902002,24600962.33498759,2086,643.64064,41.086400000000005,3075.1202918734484,0.0,3759.8473318734486,0.00014759640888888887,79.9782648378479,38.40604052348439,True
25,GENERIC,edge,79.9782648378479,34.64619319161095,619105,19500628.60027386,2044,233.1136,36.981120000000004,2437.5785750342325,0.0,2707.6732950342325,5.591203555555556e-05,79.97820892581235,40.061539781679414,True
26,GENERIC,local,79.97820892581235,37.35386648664518,2953749,1326918.6939875758,1437,0.0,0.0,221.15311566459894,0.0,221.15311566459894,0.00019658054725741865,79.9780123452651,37.79617271797438,False
27,GENERIC,edge,79.9780123452651,37.57501960230978,2377463,4576.477783279539,391,795.7881600000001,42.60768,0.5720597229099423,2.911950194861568e-12,838.9678997229129,0.00018157600000000002,79.9778307692651,39.25295540175561,True
28,GENERIC,edge,79.9778307692651,38.4139875020327,6636444,14254419.057019915,367,2158.66208,56.23648000000001,1781.8023821274896,0.0,3996.7009421274897,0.00048595118222222227,79.97734481808287,46.407389386287676,True
29,GENERIC,edge,79.97734481808287,42.410688444160186,9237461,716364.9928192343,665,2990.98752,64.55968000000001,89.54562410240429,2.123301534595612e-12,3145.0928241024067,0.0006718371911111111,79.97667298089176,48.700874092365,True
30,GENERIC,local,79.97667298089176,45.55578126826259,4566737,1099319.06439807,644,0.0,0.0,183.21984406634328,0.0,183.21984406634328,0.0001628620836145289,79.97651011880815,45.92222095639528,False
31,SLAM,local,79.97651011880815,45.739001112328936,6477412,4401216.844219557,238,0.0,0.0,733.5361407032578,0.0,733.5361407032578,0.000652032125069564,79.97585808668308,47.20607339373545,True
32,GENERIC,local,79.97585808668308,46.47253725303219,4118003,1796667.3332807312,373,0.0,0.0,299.44455554679195,0.0,299.44455554679195,0.0002661729382638121,79.97559191374481,47.07142636412578,False
33,GENERIC,edge,79.97559191374481,46.771981808578985,1813296,5831452.432409348,128,615.25472,40.802240000000005,728.9315540511685,0.0,1384.9885140511685,0.00014125685333333336,79.97545065689147,49.54195883668132,True
34,GENERIC,edge,79.97545065689147,48.15697032263015,2791775,2092110.228869526,248,928.368,43.933440000000004,261.51377860869076,0.0,1233.8152186086909,0.00021118549333333338,79.97523947139814,50.62460075984753,True
35,GENERIC,edge,79.97523947139814,49.39078554123884,817862,18866475.03424789,1963,296.71583999999996,37.616960000000006,2358.3093792809864,2.6645352591003757e-12,2692.642179280989,7.011651555555555e-05,79.97516935488258,54.77606989980082,True
36,SLAM,local,79.97516935488258,52.08342772051983,3477821,1928798.5087131332,141,0.0,0.0,321.46641811885246,0.0,321.46641811885246,0.00028574792721676044,79.97488360695536,52.726360556757534,True
37,GENERIC,local,79.97488360695536,52.40489413863868,2662540,5119445.493592289,1535,0.0,0.0,853.2409155987182,0.0,853.2409155987182,0.0007584363694210799,79.97412517058594,54.11137596983612,False
38,NAV,local,79.97412517058594,53.2581350542374,320726,4511718.403253941,550,0.0,0.0,751.9530672089871,0.0,751.9530672089871,0.0006684027264079913,79.97345676785953,54.762041188655374,True
39,GENERIC,edge,79.97345676785953,54.01008812144639,4108057,8951284.42791824,4145,1349.5782399999998,48.1456,1118.91055348978,3.3306690738754696e-12,2516.634393489783,0.00030525578666666664,79.97315151207286,59.04335690842595,False
40,GENERIC,edge,79.97315151207286,56.52672251493617,1303776,15825051.838285986,285,452.20832,39.171839999999996,1978.1314797857483,0.0,2469.5116397857482,0.00010484316444444446,79.97304666890841,61.46574579450766,True
41,GENERIC,local,79.97304666890841,58.99623415472191,1723785,2611883.7863742514,287,0.0,0.0,435.3139643957107,0.0,435.3139643957107,0.0003869457461295187,79.97265972316228,59.86686208351333,True
42,GENERIC,local,79.97265972316228,59.43154811911762,6215316,6393846.99362532,51,0.0,0.0,1065.6411656042196,0.0,1065.6411656042196,0.0009472365916481955,79.97171248657064,61.56283045032606,True
43,GENERIC,edge,79.97171248657064,60.49718928472184,10927149,20869294.027242795,1888,3531.68768,69.96672000000001,2608.6617534053494,0.0,6210.31615340535,0.0007925935644444445,79.9709198930062,72.91782159153253,True
44,GENERIC,edge,79.9709198930062,66.70750543812719,756475,4100487.5959108635,60,277.072,37.420480000000005,512.5609494888579,0.0,827.0534294888579,6.572938666666666e-05,79.97085416361953,68.3616122971049,True
45,GENERIC,edge,79.97085416361953,67.53455886761604,969390,12262430.284813095,606,345.2048,38.101760000000006,1532.8037856016367,6.8833827526759706e-12,1916.1103456016435,8.094570666666666e-05,79.97077321791286,71.36677955881933,True
46,GENERIC,edge,79.97077321791286,69.4506692132177,16944915,6491272.468045137,1267,5457.3728,89.22368,811.4090585056422,3.774758283725532e-12,6358.005538505646,0.0012226632533333332,79.96955055465953,82.166680290229,True
47,SLAM,local,79.96955055465953,75.80867475172334,10898174,6924406.249933077,781,0.0,0.0,1154.0677083221738,0.0,1154.0677083221738,0.0010258379629530486,79.96852471669658,78.11681016836769,True
48,GENERIC,local,79.96852471669658,76.96274246004552,185170,7019976.157039439,698,0.0,0.0,1169.9960261732372,0.0,1169.9960261732372,0.0010399964677095467,79.96748472022887,79.30273451239199,True
49,NAV,local,79.96748472022887,78.13273848621876,10187567,668022.1931956947,205,0.0,0.0,111.33703219928748,0.0,111.33703219928748,9.896625084380664e-05,79.96738575397802,78.35541255061733,False
50,GENERIC,local,79.96738575397802,78.24407551841804,3537636,2145168.080750877,127,0.0,0.0,357.5280134584773,0.0,357.5280134584773,0.0003178026786297596,79.9670679512994,78.959131545335,True
51,SLAM,local,79.9670679512994,78.60160353187652,2839590,7727661.95988042,543,0.0,0.0,1287.9436599800727,0.0,1287.9436599800727,0.0011448388088711734,79.96592311249053,81.17749085183667,True
52,GENERIC,local,79.96592311249053,79.8895471918566,2327157,21830872.622919623,228,0.0,0.0,3638.4787704866,0.0,3638.4787704866,0.003234203351543648,79.96268890913899,87.1665047328298,True
53,SLAM,local,79.96268890913899,83.5280259623432,1584901,8910381.39286166,356,0.0,0.0,1485.063565476949,0.0,1485.063565476949,0.001320056502646172,79.96136885263634,86.49815309329709,True
54,GENERIC,local,79.96136885263634,85.01308952782014,4384453,602471.7616778538,613,0.0,0.0,100.41196027964361,0.0,100.41196027964361,8.925507580412648e-05,79.96127959756053,85.21391344837943,False
55,GENERIC,local,79.96127959756053,85.11350148809979,239336,1917785.0109476435,308,0.0,0.0,319.63083515793755,0.0,319.63083515793755,0.00028411629791816947,79.96099548126261,85.75276315841566,True
56,GENERIC,local,79.96099548126261,85.43313232325772,6650700,3690280.707200263,171,0.0,0.0,615.0467845333765,0.0,615.0467845333765,0.0005467082529185575,79.9604487730097,86.66322589232448,True
57,GENERIC,edge,79.9604487730097,86.0481791077911,2975606,34887172.3697372,1061,987.19392,44.52192000000001,4360.89654621715,0.0,5392.61238621715,0.0002243233066666667,79.96022444970303,96.83340388022539,True
58,GENERIC,edge,79.96022444970303,91.44079149400824,1119211,8710611.769966189,2795,393.14752,38.58144,1088.8264712457735,0.0,1520.5554312457734,9.165294222222222e-05,79.96013279676082,94.48190235649977,False
59,NAV,local,79.96013279676082,92.961346925254,356124,6445576.99797222,317,0.0,0.0,1074.2628329953732,0.0,1074.2628329953732,0.0009549002959958844,79.95917789646482,95.10987259124475,True
60,GENERIC,edge,79.95917789646482,94.03560975824938,3977691,1821202.6561648739,1005,1307.8611199999998,47.728320000000004,227.65033202060923,6.800116025829084e-12,1583.2397720206159,0.0002959389511111111,79.95888195751371,97.20208930229062,True
61,GENERIC,edge,79.95888195751371,95.61884953027,7415823,14971810.931201266,96,2408.06336,58.730560000000004,1871.4763664001584,1.1102230246251565e-12,4338.270286400159,0.000541650808888889,79.95834030670483,104.29539010307032,True
62,SLAM,local,79.95834030670483,99.95711981667016,11173,11796432.28431813,1013,0.0,0.0,1966.072047386362,0.0,1966.072047386362,0.0017476195976767602,79.95659268710715,103.88926391144288,True
63,SLAM,local,79.95659268710715,101.92319186405652,4252455,6417991.641417942,558,0.0,0.0,1069.6652735696546,0.0,1069.6652735696546,0.0009508135765063618,79.95564187353064,104.06252241119583,True
64,NAV,local,79.95564187353064,102.99285713762617,246075,17171928.818676215,2342,0.0,0.0,2861.98813644603,0.0,2861.98813644603,0.0025439894546186986,79.95309788407602,108.71683341051823,True
65,GENERIC,edge,79.95309788407602,105.8548452740722,5660292,6987949.189614084,160,1846.29344,53.112640000000006,873.4936487017605,0.0,2772.8997287017605,0.0004161888355555556,79.95268169524046,111.40064473147571,True
66,GENERIC,local,79.95268169524046,108.62774500277395,7211428,12721879.989560507,1971,0.0,0.0,2120.3133315934224,0.0,2120.3133315934224,0.0018847229614163718,79.95079697227904,112.8683716659608,True
67,SLAM,local,79.95079697227904,110.74805833436737,902997,867754.937701223,1514,0.0,0.0,144.62582295020354,0.0,144.62582295020354,0.00012855628706684785,79.95066841599197,111.03730998026778,False
68,GENERIC,local,79.95066841599197,110.89268415731757,1640533,7754610.875432545,167,0.0,0.0,1292.4351459054292,0.0,1292.4351459054292,0.0011488312408048215,79.94951958475116,113.47755444912843,True
69,GENERIC,edge,79.94951958475116,112.185119303223,11759748,13318409.294082807,2132,3798.11936,72.63104000000001,1664.8011617603509,6.661338147750939e-13,5535.551561760351,0.00085209664,79.94866748811116,123.25622242674372,True
70,GENERIC,local,79.94866748811116,117.72067086498336,1270071,21367872.079083394,1620,0.0,0.0,3561.3120131805686,0.0,3561.3120131805686,0.003165610678382725,79.94550187743278,124.8432948913445,True
71,GENERIC,local,79.94550187743278,121.28198287816393,976259,12385783.357408382,114,0.0,0.0,2064.2972262347284,0.0,2064.2972262347284,0.001834930867764205,79.94366694656502,125.41057733063339,True
72,GENERIC,edge,79.94366694656502,123.34628010439866,791422,13568101.50403183,616,288.25504,37.53248000000001,1696.0126880039788,0.0,2021.800208003979,6.822695111111111e-05,79.9435987196139,127.3898805204066,True
73,GENERIC,edge,79.9435987196139,125.36808031240263,812374,191591.4780502548,214,294.95968000000005,37.599360000000004,23.94893475628185,0.0,356.5079747562819,6.972430222222225e-05,79.94352899531168,126.08109626191519,True
74,GENERIC,edge,79.94352899531168,125.72458828715891,10720304,2618316.135602546,1025,3465.49728,69.30496,327.2895169503182,0.0,3862.091756950318,0.0007778110577777778,79.94275118425391,133.44877180105956,True
75,GENERIC,local,79.94275118425391,129.58668004410924,2416975,22406212.29812198,122,0.0,0.0,3734.368716353657,0.0,3734.368716353657,0.003319438858981035,79.93943174539493,137.05541747681656,True
76,NAV,local,79.93943174539493,133.3210487604629,10331608,2468155.903903389,114,0.0,0.0,411.35931731722053,0.0,411.35931731722053,0.00036565272650420575,79.93906609266843,134.14376739509734,True
77,GENERIC,local,79.93906609266843,133.73240807778012,4101900,3011258.995063191,931,0.0,0.0,501.87649917720023,0.0,501.87649917720023,0.00044611244371306534,79.93861998022471,134.73616107613452,False
78,GENERIC,edge,79.93861998022471,134.23428457695732,2703469,2351989.23977915,1233,900.11008,43.65088,293.99865497239375,4.551914400963142e-12,1237.7596149723984,0.00020487456000000003,79.93841510566472,136.7098038069021,True
79,GENERIC,local,79.93841510566472,135.4720441919297,2432180,10167456.221902221,1354,0.0,0.0,1694.5760369837046,0.0,1694.5760369837046,0.0015062898106521809,79.93690881585407,138.86119626589712,True
80,GENERIC,edge,79.93690881585407,137.16662022891342,228199,8730814.119283997,400,108.02368,35.72992000000001,1091.3517649104995,1.354472090042691e-11,1235.1053649105131,2.7975253333333334e-05,79.93688084060074,139.63683095873444,True
81,GENERIC,edge,79.93688084060074,138.40172559382393,4001644,2857083.464852364,370,1315.5260799999999,47.80512000000001,357.1354331065455,3.774758283725532e-12,1720.4666331065491,0.0002976508088888889,79.93658318979185,141.84265886003703,True
82,GENERIC,local,79.93658318979185,140.12219222693048,1102537,1089195.5538318693,545,0.0,0.0,181.5325923053024,0.0,181.5325923053024,0.00016136230427138805,79.93642182748758,140.48525741154108,False
83,GENERIC,local,79.93642182748758,140.30372481923578,7332822,7646802.271203469,358,0.0,0.0,1274.4670452005664,0.0,1274.4670452005664,0.0011328595957338474,79.93528896789185,142.85265890963692,True
