task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,edge,80.0,0.0,2106020,683411.6933838846,413,1203.2106666666666,91.23200000000001,75.9346325982094,0.0,1370.377299264876,0.00027751703703703703,79.9984999079079,2.740754598529752,True
2,NAV,local,79.9984999079079,1.370377299264876,1050251,1001842.8760966936,372,0.0,0.0,125.23035951208672,0.0,125.23035951208672,0.00011131587512185485,79.99789820047482,1.6208380182890494,False
3,GENERIC,edge,79.99789820047482,1.4956076587769627,114537,7845302.021506123,145,141.0864,80.61066666666666,871.7002246117914,1.1102230246251565e-13,1093.3972912784582,4.0309274074074074e-05,79.99768031250684,3.6824022413338793,True
4,GENERIC,edge,79.99768031250684,2.589004950055421,745543,15075029.616136326,1263,477.6229333333333,83.976,1675.003290681814,0.0,2236.6022240151474,0.00011546909629629631,79.99705615522957,7.062209398085716,True
5,GENERIC,edge,79.99705615522957,4.825607174070568,3792104,20507262.12134284,188,2102.455466666667,100.22453333333334,2278.5846801492044,4.440892098500626e-13,4481.264680149205,0.0004783483851851852,79.99447048828262,13.788136534368977,True
6,GENERIC,edge,79.99447048828262,9.306871854219773,10343215,787561.2559242711,94,5596.381333333334,135.16373333333334,87.50680621380789,1.249000902703301e-13,5819.0518728804755,0.001258658488888889,79.98766692888323,20.944975599980722,True
7,GENERIC,edge,79.98766692888323,15.125923727100249,1538342,16721242.569161654,1369,900.4490666666666,88.20426666666667,1857.9158410179614,1.5543122344752192e-12,2846.569174351296,0.00020990026666666667,79.98653233284719,20.819062075802837,True
8,GENERIC,edge,79.98653233284719,17.97249290145154,4142709,13296335.968886536,1030,2289.4448,102.09440000000001,1477.370663209615,6.661338147750939e-13,3868.9098632096157,0.0005201093333333334,79.98372093104538,25.710312627870774,True
9,NAV,local,79.98372093104538,21.841402764661158,7561195,19421955.432226844,432,0.0,0.0,2427.7444290283547,0.0,2427.7444290283547,0.002157995048025205,79.97205609294797,26.696891622717867,True
10,GENERIC,edge,79.97205609294797,24.269147193689513,53614,5544676.389138803,976,108.59413333333335,80.54613333333334,616.075154348756,4.440892098500626e-13,805.2154210154232,3.3081600000000005e-05,79.9718772734885,25.879578035720357,False
11,GENERIC,edge,79.9718772734885,25.074362614704935,5676448,1238585.4746000802,607,3107.4389333333334,110.27413333333332,137.6206082888978,6.38378239159465e-13,3355.333674955565,0.0007027946666666668,79.9680783833984,31.785029964616065,True
12,GENERIC,local,79.9680783833984,28.4296962896605,6736642,7583314.838661069,29,0.0,0.0,947.9143548326334,0.0,947.9143548326334,0.0008425905376290077,79.96352383995176,30.32552499932577,True
13,GENERIC,edge,79.96352383995176,29.377610644493135,2312474,2722628.7308841567,357,1313.3194666666668,92.3328,302.514303431573,0.0,1708.1665700982396,0.0003021079703703704,79.96189082389571,32.79394378468962,True
14,GENERIC,edge,79.96189082389571,31.085777214591374,160565,23176302.401694022,108,165.63466666666665,80.856,2575.1447112993355,0.0,2821.635377966002,4.579170370370371e-05,79.96164330117298,36.729047970523375,True
15,GENERIC,edge,79.96164330117298,33.90741259255737,1415014,2609796.48438782,578,834.6741333333333,87.54666666666667,289.97738715420223,1.6653345369377348e-13,1212.1981871542023,0.00019521054814814815,79.96058810902085,36.33180896686577,True
16,GENERIC,edge,79.96058810902085,35.11961077971157,3257563,5848583.9385924665,1088,1817.3669333333332,97.37333333333333,649.8426598436073,0.0,2564.582926510274,0.0004146785777777778,79.95834660319503,40.24877663273212,True
17,NAV,local,79.95834660319503,37.68419370622184,72234,28063231.251486327,1859,0.0,0.0,3507.903906435793,0.0,3507.903906435793,0.0031181368057207033,79.94149180965057,44.700001519093426,True
18,NAV,local,79.94149180965057,41.19209761265763,2967492,12299763.373033708,2246,0.0,0.0,1537.470421629216,0.0,1537.470421629216,0.0013666403747815232,79.93410456438149,44.267038455916065,False
19,NAV,local,79.93410456438149,42.72956803428685,446312,3983480.7249844694,923,0.0,0.0,497.9350906230593,0.0,497.9350906230593,0.0004426089694427189,79.93171208346558,43.72543821553297,False
20,NAV,local,79.93171208346558,43.22750312490991,3743151,11241489.617097447,592,0.0,0.0,1405.1862021371803,0.0,1405.1862021371803,0.0012490544018997163,79.92496043804991,46.03787552918427,True
21,GENERIC,edge,79.92496043804991,44.63268932704709,1549212,14337819.06589467,481,906.2464,88.2624,1593.09100732163,2.4424906541753444e-12,2587.5998073216324,0.00021119502222222223,79.9238188433352,49.80788894169035,True
22,GENERIC,edge,79.9238188433352,47.22028913436872,3892478,17161075.378842402,74,2155.9882666666667,100.75946666666667,1906.7861532047114,1.7763568394002505e-12,4163.533886538046,0.000490304,79.9211685514433,55.547356907444815,True
23,GENERIC,local,79.9211685514433,51.38382302090677,3704578,2133141.641879627,453,0.0,0.0,266.6427052349505,0.0,266.6427052349505,0.0002370157379866252,79.91988738529201,51.91710843137667,False
24,SLAM,local,79.91988738529201,51.65046572614172,9681340,3977646.8928584224,734,0.0,0.0,497.2058616073056,0.0,497.2058616073056,0.00044196076587315806,79.9174984081792,52.64487744935633,False
25,GENERIC,edge,79.9174984081792,52.147671587749024,3595803,7141872.482487478,2021,1997.7616,99.1776,793.5413869430531,1.6653345369377348e-12,2890.4805869430547,0.0004549667555555556,79.91503912841944,57.92863276163513,True
26,GENERIC,local,79.91503912841944,55.03815217469207,3316971,7090774.904443627,58,0.0,0.0,886.3468630554507,0.0,886.3468630554507,0.0007878638782715142,79.91078040475311,56.810845900802974,True
27,SLAM,local,79.91078040475311,55.92449903774752,804121,403864.47857528797,970,0.0,0.0,50.48305982191437,0.0,50.48305982191437,4.487383095280978e-05,79.91053784350471,56.02546515739135,False
28,GENERIC,local,79.91053784350471,55.97498209756944,3325296,13432231.36062509,2843,0.0,0.0,1679.0289200781388,0.0,1679.0289200781388,0.0014924701511805655,79.90247043728212,59.333039937725715,False
29,GENERIC,local,79.90247043728212,57.654011017647576,1508943,437120.9899225011,1467,0.0,0.0,54.64012374031313,0.0,54.64012374031313,4.85689988802779e-05,79.90220790215304,57.7632912651282,False
30,GENERIC,local,79.90220790215304,57.70865114138789,7221504,6672740.027450583,486,0.0,0.0,834.0925034313216,0.0,834.0925034313216,0.0007414155586056205,79.89820025048489,59.37683614825053,True
31,NAV,local,79.89820025048489,58.54274364481921,1417013,9521794.904246237,85,0.0,0.0,1190.2243630307794,0.0,1190.2243630307794,0.0010579772115829151,79.89248145474662,60.92319237088077,True
32,GENERIC,edge,79.89248145474662,59.73296800784999,1548273,1989677.7017602425,521,905.7456,88.25706666666666,221.07530019558249,0.0,1215.077966862249,0.00021108314074074074,79.89134046479667,62.16312394157448,True
