task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,local,80.0,0.0,26559,1608120.320374828,252,0.0,0.0,1608.120320374828,0.0,1608.120320374828,0.0011167502224825195,79.99888324977752,3.216240640749656,True
2,GENERIC,edge,79.99888324977752,1.608120320374828,2335480,454762.02303283074,548,206.83839999999998,21.86832,90.95240460656615,2.7755575615628914e-14,319.65912460656614,4.839390222222222e-05,79.9988348558753,2.2474385695879606,False
3,SLAM,local,79.9988348558753,1.9277794449813943,738108,134472.0184015388,221,0.0,0.0,134.4720184015389,0.0,134.4720184015389,9.338334611217971e-05,79.99874147252919,2.1967234817844723,False
4,GENERIC,local,79.99874147252919,2.062251463382933,825574,1245132.0948341184,889,0.0,0.0,1245.1320948341188,0.0,1245.1320948341188,0.0008646750658570266,79.99787679746333,4.55251565305117,True
5,NAV,local,79.99787679746333,3.307383558217052,1718580,5988949.704867426,415,0.0,0.0,5988.949704867426,0.0,5988.949704867426,0.00415899285060238,79.99371780461273,15.285282967951904,True
6,NAV,local,79.99371780461273,9.296333263084477,3304611,2051844.649405417,97,0.0,0.0,2051.8446494054174,0.0,2051.8446494054174,0.0014248921176426507,79.99229291249509,13.400022561895312,True
7,NAV,local,79.99229291249509,11.348177912489895,1971903,4628247.334780075,1645,0.0,0.0,4628.247334780074,0.0,4628.247334780074,0.00321406064915283,79.98907885184593,20.604672582050043,True
8,GENERIC,local,79.98907885184593,15.976425247269969,805686,18081075.928450096,475,0.0,0.0,18081.075928450093,0.0,18081.075928450093,0.012556302728090345,79.97652254911785,52.13857710417015,True
9,GENERIC,local,79.97652254911785,34.05750117572006,1010508,9891899.676717076,861,0.0,0.0,9891.899676717074,0.0,9891.899676717074,0.006869374775497969,79.96965317434234,53.84130052915421,True
10,NAV,local,79.96965317434234,43.94940085243714,271202,1708143.285898402,83,0.0,0.0,1708.1432858984017,0.0,1708.1432858984017,0.0011862106152072237,79.96846696372714,47.36568742423394,True
11,SLAM,local,79.96846696372714,45.65754413833554,111645,1628467.8998414704,1009,0.0,0.0,1628.4678998414677,0.0,1628.4678998414677,0.001130880486001021,79.96733608324114,48.914479938018474,True
